spanish_headword,part_of_speech,german_support,simple_spanish_definition,story_example,story_reference,story_word,story_word_in,deck_tag
abrigo,Substantiv,Mantel,Ropa que se lleva encima de otras prendas para protegerse del frío.,Fischer guardó la caja en el bolsillo de su abrigo.,Geschichten 3–4,NO,,GLOSSARY
amenaza,Substantiv,Drohung,Mensaje o acción que anuncia que alguien puede hacer daño.,La amenaza apareció en el escaparate.,Geschichte 4,YES,4,STORY_WORD
asesino,Substantiv,Mörder,Persona que mata a otra persona de forma intencional.,Angus pensaba que un asesino entró en el edificio.,Geschichte 4,YES,4,STORY_WORD
ataúd,Substantiv,Sarg,Caja donde se coloca un cuerpo para enterrarlo.,Abrieron el ataúd del conde.,Geschichte 5,YES,5,STORY_WORD
bandeja,Substantiv,Tablett,"Superficie plana que sirve para llevar comida, bebidas u objetos.",Las máquinas podían transportar una bandeja.,Geschichte 4,NO,,GLOSSARY
bastón,Substantiv,Spazierstock / Stock,Palo que una persona puede usar para apoyarse al caminar.,Encontraron un bastón al que le faltaba la parte superior.,Geschichte 5,NO,,GLOSSARY
bizco / bizca,Adjektiv,schielend,Que tiene los ojos orientados de una manera diferente entre sí.,Welkin era muy bizco.,Geschichte 4,YES,4,STORY_WORD
calavera,Substantiv,Schädel,Parte ósea de la cabeza.,La calavera no estaba en el ataúd.,Geschichte 5,YES,5,STORY_WORD
camarero / camarera,Substantiv,Kellner / Kellnerin,"Persona que sirve comida y bebida en un hotel, café o restaurante.",Los invitados apenas miraban a los camareros.,Geschichte 2,YES,2,STORY_WORD
candelabro,Substantiv,Kerzenhalter / Leuchter,Objeto que sostiene una vela.,"Había velas, pero no candelabros.",Geschichte 5,NO,,GLOSSARY
canal,Substantiv,Kanal,Vía de agua construida o modificada por personas.,Encontraron el cuerpo de Smythe en el canal.,Geschichte 4,NO,,GLOSSARY
cartero / cartera,Substantiv,Postbote / Postbotin,Persona que lleva y entrega cartas.,El hombre que nadie consideraba sospechoso era un cartero.,Geschichte 4,NO,,GLOSSARY
castillo,Substantiv,Schloss / Burg,"Edificio grande y fortificado, normalmente antiguo.",El castillo de Glengyle estaba aislado.,Geschichte 5,YES,5,STORY_WORD
castaña,Substantiv,Kastanie,Fruto marrón de un castaño.,Un vendedor de castañas vigilaba la entrada.,Geschichte 4,NO,,GLOSSARY
coche,Substantiv,Auto / Wagen,Vehículo de motor para transportar personas.,Un coche elegante llegó a la casa.,Geschichte 3,NO,,GLOSSARY
coronel,Substantiv,Oberst,Rango militar superior.,El coronel Adams era el padre de Ruby.,Geschichte 3,NO,,GLOSSARY
crucifijo,Substantiv,Kruzifix,Cruz con la figura de Jesucristo.,Brown dejó un pequeño crucifijo sobre la mesa.,Geschichte 3,NO,,GLOSSARY
cruz,Substantiv,Kreuz,Figura formada por dos líneas que se cruzan; también símbolo cristiano.,El padre Brown llevaba una cruz valiosa.,Geschichte 1,YES,1,STORY_WORD
cubo,Substantiv,Eimer,Recipiente abierto que sirve para llevar agua u otros materiales.,Un empleado estaba junto a las escaleras con un cubo.,Geschichte 4,NO,,GLOSSARY
cubierto,Substantiv,Besteckteil,"Objeto usado para comer, como cuchillo, tenedor o cuchara.",Los cubiertos de plata tenían forma de pez.,Geschichte 2,YES,2,STORY_WORD
desaparecer,Verb,verschwinden,Dejar de estar visible o dejar de estar en un lugar.,"Una máquina puede moverse, pero no puede hacer desaparecer a un hombre.",Geschichte 4,YES,4,STORY_WORD
devolver,Verb,zurückgeben,Dar otra vez algo a la persona a la que pertenece.,Esta noche devolvió la plata.,Geschichten 2–3,YES,"2,3",STORY_WORD
